City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,daoukro,CI,69.6,scattered clouds,7.0591,-3.9631,
277,neiafu,TO,79.48,few clouds,-18.65,-173.9833,
278,mogoytuy,RU,73.26,clear sky,51.2833,114.9167,
282,labuhan,ID,86.61,scattered clouds,-6.8844,112.2051,
285,fairbanks,US,71.6,clear sky,64.8378,-147.7164,
286,jacmel,HT,82.24,broken clouds,18.2342,-72.5347,
287,liaocheng,CN,90.68,clear sky,36.4439,115.9647,
288,catuday,PH,84.24,scattered clouds,16.2923,119.8062,
289,terre haute,US,70.07,clear sky,39.4667,-87.4139,
292,port macquarie,AU,63.9,clear sky,-31.4333,152.9167,
293,denpasar,ID,85.66,few clouds,-8.65,115.2167,
294,dabat,ET,60.21,few clouds,12.9842,37.765,
295,manavalakurichi,IN,83.46,broken clouds,8.1333,77.3,
296,dingle,PH,89.6,scattered clouds,10.9995,122.6711,
297,monte alegre,BR,73.04,overcast clouds,-2.0078,-54.0692,
298,mindelo,CV,72.95,few clouds,16.8901,-24.9804,
299,camacha,PT,63.82,scattered clouds,33.0833,-16.3333,
300,kohlu,PK,91.15,clear sky,29.8962,69.252,
301,alugan,PH,85.71,scattered clouds,12.2188,125.4808,
302,lorengau,PG,83.98,scattered clouds,-2.0226,147.2712,
303,altamont,US,67.77,overcast clouds,42.2068,-121.7372,
304,romny,UA,66.04,overcast clouds,50.751,33.4747,
305,xinyang,CN,91.62,overcast clouds,32.1228,114.0656,
306,bilma,NE,82.67,clear sky,18.6853,12.9164,
307,aleksandrovskoye,RU,67.86,broken clouds,44.7142,43.0008,
308,nanzhang,CN,91.24,overcast clouds,31.7765,111.8386,
311,noumea,NC,82.38,overcast clouds,-22.2763,166.4572,
312,mayumba,GA,72.86,overcast clouds,-3.432,10.6554,
313,los llanos de aridane,ES,66.13,clear sky,28.6585,-17.9182,
314,talakan,RU,80.38,few clouds,50.3167,130.3667,
317,perth,AU,64.09,clear sky,-31.9333,115.8333,
318,ranong,TH,85.93,overcast clouds,9.9658,98.6348,
320,escarcega,MX,74.53,overcast clouds,18.6089,-90.7454,
322,tefe,BR,73.29,light rain,-3.3542,-64.7114,
324,lompoc,US,62.56,clear sky,34.6391,-120.4579,
325,xuddur,SO,70.07,scattered clouds,4.1213,43.8894,
328,requena,ES,61.79,overcast clouds,39.4883,-1.1004,
329,fort nelson,CA,63.99,broken clouds,58.8053,-122.7002,
330,canutama,BR,73.13,broken clouds,-6.5339,-64.3831,
331,lagoa,PT,64.06,broken clouds,39.05,-27.9833,
332,college,US,71.58,few clouds,64.8569,-147.8028,
333,san cristobal,VE,69.98,broken clouds,7.7669,-72.225,
335,lagdo,CM,76.73,broken clouds,9.05,13.7333,
337,alyangula,AU,79.3,broken clouds,-13.8483,136.4192,
338,revelstoke,CA,71.62,clear sky,50.9832,-118.2023,
339,kulhudhuffushi,MV,81.97,overcast clouds,6.6221,73.07,
340,iquitos,PE,73.44,broken clouds,-3.7481,-73.2472,
342,axim,GH,78.03,overcast clouds,4.8699,-2.2405,
343,mocuba,MZ,63.36,overcast clouds,-16.8392,36.9856,
345,caravelas,BR,68.88,overcast clouds,-17.7125,-39.2481,
346,tommot,RU,79.3,few clouds,58.9564,126.2925,
348,tezu,IN,75.65,moderate rain,27.9167,96.1667,
349,kavieng,PG,83.39,light rain,-2.5744,150.7967,
355,ife,NG,72.46,overcast clouds,7.4667,4.5667,
356,salinopolis,BR,76.14,overcast clouds,-0.6136,-47.3561,
357,aleppo,SY,70.16,clear sky,36.25,37.5,
359,sola,VU,84.87,broken clouds,-13.8833,167.55,
360,atar,MR,87.53,broken clouds,20.5169,-13.0499,
361,hay river,CA,62.58,few clouds,60.8156,-115.7999,
362,aketi,CD,71.92,overcast clouds,2.7388,23.7833,
363,kitimat,CA,71.98,overcast clouds,54.0524,-128.6534,
364,garowe,SO,78.87,overcast clouds,8.4054,48.4845,
366,diourbel,SN,78.78,clear sky,14.6628,-16.3925,
368,srandakan,ID,88.5,scattered clouds,-7.9386,110.2506,
371,vila franca do campo,PT,69.19,broken clouds,37.7167,-25.4333,
372,champerico,GT,79.41,overcast clouds,14.3,-91.9167,
373,imeni poliny osipenko,RU,69.89,overcast clouds,52.4201,136.4853,
374,sao jose da coroa grande,BR,74.07,few clouds,-8.8978,-35.1478,
375,salalah,OM,84.29,broken clouds,17.0151,54.0924,
376,tutoia,BR,75.78,overcast clouds,-2.7619,-42.2744,
377,pitimbu,BR,72.19,few clouds,-7.4706,-34.8086,
378,villa del rosario,CO,75.58,broken clouds,7.8339,-72.4742,
380,surt,LY,73.83,clear sky,31.2089,16.5887,
382,komsomolskiy,UZ,83.12,few clouds,40.4272,71.7189,
383,ambulu,ID,86.72,broken clouds,-8.345,113.6058,
384,novyy oskol,RU,62.04,clear sky,50.7631,37.8691,
385,christchurch,NZ,61.32,overcast clouds,-43.5333,172.6333,
