City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
135,port hawkesbury,CA,2022-06-08 03:30:58,45.6169,-61.3485,48.58,93,0,4.61,clear sky,0.0,0
136,hermanus,ZA,2022-06-08 03:30:58,-34.4187,19.2345,58.8,45,11,7.25,few clouds,0.0,0
137,sao filipe,CV,2022-06-08 03:31:00,14.8961,-24.4956,73.29,82,2,6.35,clear sky,0.0,0
138,hobart,AU,2022-06-08 03:30:07,-42.8794,147.3294,51.66,71,75,11.5,broken clouds,0.0,0
139,norman wells,CA,2022-06-08 03:31:01,65.282,-126.8329,55.44,54,75,4.61,broken clouds,0.0,0
140,richmond,US,2022-06-08 03:28:58,37.5538,-77.4603,78.78,71,100,8.05,overcast clouds,0.0,0
141,thompson,CA,2022-06-08 03:31:03,55.7435,-97.8558,57.36,51,20,5.75,few clouds,0.0,0
142,dandong,CN,2022-06-08 03:31:05,40.1292,124.3947,73.29,49,81,9.84,broken clouds,0.0,0
143,escanaba,US,2022-06-08 03:31:07,45.7453,-87.0646,55.96,100,0,0.0,clear sky,0.0,0
144,sitka,US,2022-06-08 03:31:09,57.0531,-135.33,64.29,48,75,9.22,broken clouds,0.0,0
145,beloha,MG,2022-06-08 03:31:11,-25.1667,45.05,61.66,82,20,7.18,few clouds,0.0,0
146,georgetown,MY,2022-06-08 03:27:11,5.4112,100.3354,87.73,74,20,4.61,few clouds,0.0,0
147,sompeta,IN,2022-06-08 03:31:14,18.9333,84.6,95.88,50,49,8.5,scattered clouds,0.0,0
148,lagos,NG,2022-06-08 03:30:24,6.5833,3.75,80.92,83,95,4.16,overcast clouds,0.0,0
149,port-gentil,GA,2022-06-08 03:31:15,-0.7193,8.7815,75.74,89,100,6.46,light rain,0.0,0
150,esperance,AU,2022-06-08 03:31:15,-33.8667,121.9,60.53,53,77,10.31,broken clouds,0.0,0
151,mwinilunga,ZM,2022-06-08 03:31:16,-11.7358,24.4293,47.03,91,0,5.37,clear sky,0.0,0
152,husavik,IS,2022-06-08 03:31:17,66.0449,-17.3389,46.58,85,96,1.54,overcast clouds,0.0,0
153,niquelandia,BR,2022-06-08 03:31:17,-14.4739,-48.4597,65.12,49,1,2.75,clear sky,0.0,0
154,hamilton,US,2022-06-08 03:29:02,39.1834,-84.5333,71.01,90,20,3.44,mist,0.0,0
155,lodja,CD,2022-06-08 03:31:19,-3.4833,23.4333,66.2,70,53,2.37,broken clouds,0.0,0
156,eureka,US,2022-06-08 03:31:21,40.8021,-124.1637,60.21,81,98,1.01,overcast clouds,0.0,0
157,sechura,PE,2022-06-08 03:31:22,-5.5569,-80.8222,65.52,77,87,11.86,overcast clouds,0.0,0
158,rocha,UY,2022-06-08 03:31:24,-34.4833,-54.3333,49.55,95,83,4.47,broken clouds,0.0,0
159,french harbor,HN,2022-06-08 03:31:26,16.35,-86.4333,84.2,91,75,23.02,broken clouds,0.0,0
